nivel_territorial_cod,nivel_territorial_nome,unidade_medida_cod,unidade_medida_nome,valor,geo_cod,geo_nome,variavel_cod,variavel_nome,setor_cod,setor_nome,periodo_trimestral
1,Brasil,1550,Milhões de Reais,39099.69,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93406,Formação bruta de capital fixo,1997Q2
1,Brasil,1550,Milhões de Reais,14804.4,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93407,Exportação de bens e serviços,1997Q2
1,Brasil,1550,Milhões de Reais,20623.07,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93408,Importação de bens e serviços (-),1997Q2
1,Brasil,1550,Milhões de Reais,9166.85,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90687,Agropecuária - total,1997Q3
1,Brasil,1550,Milhões de Reais,43926.54,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90691,Indústria - total,1997Q3
1,Brasil,1550,Milhões de Reais,1212.44,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90692,Indústrias extrativas,1997Q3
1,Brasil,1550,Milhões de Reais,26559.7,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90693,Indústrias de transformação,1997Q3
1,Brasil,1550,Milhões de Reais,4115.16,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",1997Q3
1,Brasil,1550,Milhões de Reais,12019.89,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90694,Construção,1997Q3
1,Brasil,1550,Milhões de Reais,107943.86,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90696,Serviços - total,1997Q3
1,Brasil,1550,Milhões de Reais,14826.06,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90697,Comércio,1997Q3
1,Brasil,1550,Milhões de Reais,5857.08,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90698,"Transporte, armazenagem e correio",1997Q3
1,Brasil,1550,Milhões de Reais,4107.37,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90699,Informação e comunicação,1997Q3
1,Brasil,1550,Milhões de Reais,16786.12,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90700,"Atividades financeiras, de seguros e serviços relacionados",1997Q3
1,Brasil,1550,Milhões de Reais,15861.46,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90702,Atividades imobiliárias,1997Q3
1,Brasil,1550,Milhões de Reais,23776.98,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90701,Outras atividades de serviços,1997Q3
1,Brasil,1550,Milhões de Reais,26510.18,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90703,"Administração, saúde e educação públicas e seguridade social",1997Q3
1,Brasil,1550,Milhões de Reais,160964.31,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90705,Valor adicionado a preços básicos,1997Q3
1,Brasil,1550,Milhões de Reais,187324.91,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90707,PIB a preços de mercado,1997Q3
1,Brasil,1550,Milhões de Reais,118997.99,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93404,Despesa de consumo das famílias,1997Q3
1,Brasil,1550,Milhões de Reais,36334.48,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93405,Despesa de consumo da administração pública,1997Q3
1,Brasil,1550,Milhões de Reais,39864.2,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93406,Formação bruta de capital fixo,1997Q3
1,Brasil,1550,Milhões de Reais,15211.67,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93407,Exportação de bens e serviços,1997Q3
1,Brasil,1550,Milhões de Reais,20726.78,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93408,Importação de bens e serviços (-),1997Q3
1,Brasil,1550,Milhões de Reais,9958.81,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90687,Agropecuária - total,1997Q4
1,Brasil,1550,Milhões de Reais,43762.5,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90691,Indústria - total,1997Q4
1,Brasil,1550,Milhões de Reais,1205.88,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90692,Indústrias extrativas,1997Q4
1,Brasil,1550,Milhões de Reais,26203.43,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90693,Indústrias de transformação,1997Q4
1,Brasil,1550,Milhões de Reais,4168.82,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",1997Q4
